epoch,accuracy,loss,val_accuracy,val_loss
0,0.9244347214698792,0.19607770442962646,0.7223042845726013,0.7000845670700073
1,0.9493012428283691,0.1390673816204071,0.9316214323043823,0.1960357427597046
2,0.9572946429252625,0.11851673573255539,0.8444267511367798,0.44525018334388733
3,0.9652312397956848,0.09852518886327744,0.9181229472160339,0.23346272110939026
4,0.9690830707550049,0.08753747493028641,0.9139643311500549,0.2526110112667084
